asap0_id,asap0_name,hs_code,hs_name,comment,g1_w_crop,g1_w_range,g1_w_any,ISO3
52,El Salvador,0,No hotspot,"Main cycle of maize concluded the harvest stage this month with favourable prospects in the eastern part of the country and below average in the rest. The second cycle of maize and beans is in vegetation stage. Rice (main) is in harvest stage and sorghum cycle is in the vegetation stage. In the last 30 days, the country received normal rainfall in all cropland areas. This has contributed to the slight recovery of vegetation conditions observed by November 20th in comparison with the previous 30 days. However, below average vegetation conditions, caused by poor rainfall and high temperatures at the start of the cycle, are still observed in about 1/5 of total cropland, with the western areas showing a larger proportion of cropland with poor vegetation activity than the rest. For the second cycle of beans, areas showing poor vegetations will likely not recover since the cycle is ready for harvest. The rainfall forecast until the end of December shows normal to above normal rainfall conditions for all zones ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_11_2-north_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel), which could help to improve vegetation conditions of the maize cycle which will still be in the vegetation stage in December. FEWSNET has estimated that between 0.1 and 0.25 million will require urgent food assistance in November 2024 ([https://fews.net/sites/default/files/2024-11/FAOB-November%202024.pdf"" target=""_blank"" rel=""noreferrer noopener] FEWSNET November 2024).",4,3,4,SLV
59,Mali,1,Hotspot,"Harvesting of the 2024 main season coarse grains crops is underway and it is due to conclude in December, while harvesting of main season rice crops is underway and it is expected to conclude in January 2025. According to [https://reliefweb.int/report/mali/mali-complex-emergency-emergency-appeal-mdrml020] IFRC (Complex Emergency - Emergency Appeal (MDRML020), the food security crisis, compounded by floods and insecurity, now affects 1,370,248 individuals, with 120,923 in emergency conditions. The loss of grain and hectares of farmland is expected to limit food access, particularly in the regions of Koulikoro, Mopti, Timbuktu, and Gao, where skyrocketing food prices are exacerbating the situation. According to [https://www.fao.org/giews/reports/crop-prospects/en/] FAO- Crop Prospects and Food Situation (November 2024), total cereal production for 2024 is forecast at 9.6 million tons, ca. 3% below the 5-year average. According to the [https://www.fao.org/giews/reports/crop-prospects/en/] same report, the reduced cereal production reflects crop losses due to floods and pests, a reduction in planted area due to insecurity and farmers’ limited access to agricultural inputs. Rangeland conditions in mid-November are average to above-average and the good conditions (pasture biomass levels, filling of water points) point to good livestock conditions across the country. According to [https://drive.google.com/file/d/1yxzTlhaQ_0dIzQ0wrtk5v1aMC9WQ2aql/view] Green Africa, Food situation update, November 2024, the food situation is considered generally normal despite the recent floods that affected many populations and those victims of civil insecurity.",0,0,0,MLI
61,C. African Rep.,0,No hotspot,"Rice (South) and Cassava are approaching the harvest period. Overall, the crop season has been characterized by favorable conditions, with biomass recorded in or above average throughout the country. However, below-average precipitation has been recorded in some prefectures over the last 30 days, particularly in Ouham Pendé (-54%). According to the [https://reliefweb.int/report/central-african-republic/central-african-republic-car-sudan-situation-external-update-10-16-november-2024] UNHCR, the security situation in Central African Republic's refugee-hosting areas remains volatile due to the presence of non-state armed groups, with reports of human rights concerns and risks to civilian safety.",0,0,0,
66,Ghana,1,Hotspot,"In southern bimodal rainfall areas, harvest of the main maize crop was concluded in September, while harvesting operations of rainfed rice concluded in October. Harvest of the second season maize crop will start in December. In northern unimodal rainfall areas, harvesting operations of the 2024 cereal crops are ongoing and will be completed in December. According to [https://ipad.fas.usda.gov/countrysummary/default.aspx?id=GH] USDA, maize and rice production for 2024 is expected to be almost 30% and ca. 5% below the 5-year average, respectively. Sorghum production is also expected to be below the 5-year average (ca. 6% according to [https://ipad.fas.usda.gov/countrysummary/default.aspx?id=GH] USDA). Rangeland conditions thanks to beneficial rains in the last month have improved and at mid-November are average to above-average.",7,5,8,GHA
67,Afghanistan,1,Hotspot,"In Afghanistan, sowings of winter wheat finalized in November and moisture and crops conditions are close to average. However, below normal rainfall is expected across most regions of the country till April 2025 according to the Copernicus C3S multimodel seasonal forecast, which may affect irrigation water availability (through reduced snowpack and ground water recharge) and limit sowings of spring and summer crops. Harvest of rice finalized in November with good prospects thanks to above average crop biomass across the country. Afghanistan continues to face high levels of hunger with more than 15 million people estimated in acute food insecurity (IPC phase 3 or above) as a result of a severe economic and social crisis (combined with climate change, gender inequalities, rapid urbanization) according to the 2024 Global Report on Food Crises.",0,0,0,AFG
68,Haiti,1,Hotspot,"Rice (main cycle) and second cycle of maize ended the harvesting stage. A third cycle of maize has started, and sorghum completed the vegetation stage. Vegetation conditions are normal to above normal in most cropland areas, suggesting good harvest prospects for rice and maize (second). Rainfall has been normal to above normal in all cropping areas which may have benefitted the third cycle of maize, except in some southern areas where there are reports ([https://reliefweb.int/report/haiti/haiti-floods-south-department-flash-update-no-01-15-november-2024"" target=""_blank"" rel=""noreferrer noopener] OCHA, November 2024) of damage to crop and livestock caused by excessive rainfall. All the country should receive above average rainfall until the end of January ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_11_2-3-north_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel). It is estimated that 5.4 million people (about 50% of the population) will experience high levels of acute food insecurity between August 2024 and February 2025 (I[https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Haiti_Acute_Food_Insecurity_Aug2024_Jun2025_Snapshot_English.pdf"" target=""_blank"" rel=""noreferrer noopener] PC TWG Haiti).",0,0,0,HTI
74,Tanzania,0,No hotspot,"Vuli maize establishment has been completed in bimodal areas, while Msimu maize and sorghum planting is underway in unimodal regions. The last 30 days have been characterized by mixed rainfall patterns: above-average amounts have been recorded in the west (Kigoma, +66%); in contrast, the east of the country has marked below-average quantities (Tanga, -43%). The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus Climate Change Service (C3S) multimodel seasonal forecasts indicate a predominantly wet outlook throughout the country for the next few months. According to [https://african.business/2024/11/economy/tanzania-makes-strides-in-food-security-with-african-development-bank-support] African Business, Tanzania has achieved 128% food security, producing surplus food that it is exporting to neighboring countries, thanks in part to the support of the African Development Bank and its participation in the 2023 Dakar 2 Food Summit, which mobilized over $72 billion in commitments to agricultural transformation across Africa.",7,1,7,TZA
77,Botswana,0,No hotspot,"The reduced rainfall amounts in October and the above-average temperatures between mid-October and beginning of November, have resulted in a delay in sowing activities and crop and pasture development in the eastern part of the country. The three most affected districts in terms of the active crop and rangeland area affected by a greenness anomaly (zFPARc) are the districts of Central, Kweneng and Southern. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for the December 2024-February 2025 period points to average rainfall conditions across the country. Monitoring the situation in the next months is crucial.",6,6,6,BWA
78,Iraq,0,No hotspot,"In Iraq, sowings of winter wheat and barley are underway and should finalize in December. Rainfall as well as winter crops conditions have been close to average up to now but below normal rainfall is expected from December to April according to the Copernicus C3S multimodel seasonal forecast. In the south (Qadissiya and Najaf), rice harvest is underway and should finalize in December with average (Qadissiya) to above average (Najaf) prospect according to crop biomass.",5,4,5,IRQ
79,Egypt,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,11,2,11,EGY
80,Niger,0,No hotspot,"At the end of the main season in the country, total cereal production for 2024 is forecast at 5.7 million tons, almost 12% above the 5-year average ([https://www.fao.org/giews/reports/crop-prospects/en/] FAO- Crop Prospects and Food Situation (November 2024)). Pastoral conditions are generally above-average thanks to favourable rainfalls received so far across the region and good livestock production is expected. However, according to [https://fews.net/fr/west-africa/niger/perspectives-sur-la-securite-alimentaire/octobre-2024] FEWSNET (October 2024), the excess rainfall caused floods, which significantly impacted populations and their property and equipment, including about 25,000 heads of livestock lost, about 24,000 hectares of damaged crops. The victims of the floods are estimated at about 1.5 million people and the negative impacts are significant and lasting on the livelihoods of the affected populations.",0,0,0,NER
81,Myanmar,3,Not assessed,Not a hotspot country according to the latest ASAP analysis.,7,3,8,MMR
82,Senegal,0,No hotspot,"The main agricultural season is over in Senegal and according to
[https://ipad.fas.usda.gov/countrysummary/default.aspx?id=SG] USDA, rice production for 2024 is expected to be ca. 10% above-average, whereas millet and maize production is expected to be close to average.",1,1,1,SEN
83,Ecuador,0,No hotspot,"The second cycles of maize and rice completed the harvesting stage. Above-average vegetation status is observed in most of the croplands with the exception of some minor producing departments. Harvest prospects are therefore favorable. The [https://agricultural-production-hotspots.ec.europa.eu/files/technical_note_on_large_scale_yield_forecasting_v1.0.pdf"" target=""_blank"" rel=""noreferrer noopener] JRC pre-operational yield forecasting system predicts a national yield average for the 2024 maize campaign as the previous year (about 4350 kg/ha). The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_11_2-4-south_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel forecasts drier-than-normal conditions until the end of February in the coastal areas and wetter in the rest of the country. Therefore, if the forecast materialized, the main cycles of maize and rice could have a delayed onset in the coastal departments, which include areas of key producing departments of Manabi and Guayas. Ecuador is in the list of food crisis countries recently published by the Global Report on Food Crisis, with weather extremes being one of the main drivers of the crisis ([https://www.fsinplatform.org/sites/default/files/resources/files/GRFC2024-full.pdf"" target=""_blank"" rel=""noreferrer noopener] GRFC 2024).",3,1,4,ECU
88,South Sudan,2,Major hotspot,"The agricultural season is over in South Sudan and outcomes are expected to be low due to a combination of agro-climatic and socio-economic factors. Wide-spread flooding and dry spells characterized the 2024 agricultural season, though non flooded pastoral areas are showing above average greenness in November. 
[https://www.ipcinfo.org/] IPC analysis released in November confirms the combined negative impacts on food security of floods, adverse economic conditions, conflict and insecurity, further aggravated by the massive inflow of refugees from Sudan. According to IPC an estimated 6.3 million people (47 percent of the population analysed) are classified in IPC Phase 3 or above (Crisis or worse). Of this total, 1.71 million people are facing critical levels of acute food insecurity – classified as IPC Phase 4 (Emergency) and a further 41,000 people are facing catastrophic levels of acute food insecurity or IPC Phase 5 (Catastrophe).",0,0,0,SSD
90,Mauritania,0,No hotspot,"Harvesting of the 2024 cereal crops is underway in the agricultural and agro-pastoral zones of the country. According to [https://fews.net/fr/west-africa/mauritanie/mise-jour-du-suivi-distance/octobre-2024] FEWSNET (October 2024), total cereal harvests are expected to be 16% above the 5-year average, although they are slightly below last year's (-5%).",2,1,2,MRT
92,Angola,0,No hotspot,"The central, southern and northwestern provinces of Angola have received below-average rainfall in October, ranging between 40%-70% below-average. Moreover, temperatures in October were above-average. As a result, sowing activities and crop development have been impeded in most central, southern and northwestern provinces and similarly, pastoral conditions are poor. At mid-November, crop conditions are poor in the provinces of Huila, Benguela and Huambo, where ca. 60%-90% of the active crop area is affected by a greenness anomaly. Crop conditions are similarly poor in the southern part, specifically in the provinces of Cunene, Cuando Cubango and Namibe, where ca. 70%-80% of active crop area is affected by a greenness anomaly. Crop conditions are affected to a lesser extend in the marginal cropping areas of the northwestern provinces of Bengo, Kunaza Norte and Luanda. Rangeland conditions are poor in the southern provinces of Cuando Cubango, Huila and Cunene, where ca. 50%-60% of active rangeland area is affected by a greenness anomaly. Rangeland conditions are affected to a lesser extend in the provinces of Huambo, Benguela and Namibe. Rainfall conditions have improved in the first two dekads of November and there is still room for improvement at this stage of the season. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for the December 2024-February 2025 period points to below-average rainfall over most of the western part of the country, whereas average conditions are forecast for the eastern part. Monitoring the situation in the next months is crucial.",12,9,12,AGO
93,Nicaragua,0,No hotspot,"Maize and beans (second cycle), the second cycle of sorghum and the rice cycle in the highlands are in the harvesting stage. The Apante maize and beans cycle is in the sowing stage. Precipitation in the last month has been normal to above normal in all cropping areas favoring the establishment of the Apante cycle.
 Vegetation conditions as of November 20th were normal in most cropping areas except for Rio San Juan where more than 1/3 of the cropland shows poor vegetation activity. Rainfall forecast until the end of January is above normal for all areas ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_11_2-3-north_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel). This could favor the establishment of the third maize and beans cycle (Apante) but could also translate into excessive rainfall that could harm Postrera crops, which will still be in harvesting stage during December. FEWSNET has estimated that between 0.1 and 0.25 million will require urgent food assistance in November 2024 ([https://fews.net/sites/default/files/2024-11/FAOB-November%202024.pdf"" target=""_blank"" rel=""noreferrer noopener] FEWSNET November 2024).",1,1,1,NIC
96,Eritrea,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,ERI
100,Honduras,0,No hotspot,"The second cycle of maize and beans (Postrera) concluded the vegetation stage in most areas. The cycle of sorghum continues in harvesting stage. Accumulated rainfall in the last 3 months and in the last month has been normal and above normal in all cropping areas. Vegetation activity is normal in most cropland areas and harvest prospects of ongoing cycles are considered to be favourable overall.
 Normal and above normal rainfall conditions are forecast until the end of December in all areas ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_09_2-3-north_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel).
 According to FEWSNET, between 0.75 M and 1 M people needed urgent food assistance in November 2024 ([https://fews.net/sites/default/files/2024-11/FAOB-November%202024.pdf"" target=""_blank"" rel=""noreferrer noopener] FEWSNET, November 2024).",5,5,5,HND
105,Algeria,0,No hotspot,"Sowing of winter wheat and barley are underway under mixed moisture conditions and 2-4C warmer than average temperatures. In the west (from Tlemcen to Chlef) and the east (Khenchela and Tebessa but also Constantine or Setif), winter cereals growth is delayed with respect to normal, possibly because famers delayed their sowings waiting for better rainfall (the west but also Tebessa and Khenchela received 30 to 40% of their normal rainfall in the last month). We are still early in the season as winter cereals sowings usually finalize in January, but according to the Copernicus C3S multimodel seasonal forecast, below average rainfall is expected till end of April, especially in the western part of the country.",15,22,23,DZA
108,Bolivia,0,No hotspot,"Rice and main maize cycles are in the sowing stage. Rainfall has been normal in most cropland areas in the last month, including Santa Cruz, the department responsible for about ¾ of national grain production. However, vegetation conditions are below average which could be a sign of reduced planted area. Low availability of fuel, higher inputs costs and restricted access to credit have been reported as possible causes of a reduction in the area sown ([https://www.fao.org/giews/countrybrief/country.jsp?code=BOL&amp;lang=AR"" target=""_blank"" rel=""noreferrer noopener] FAO GIEWS, November 2024). Seasonal forecast indicates above normal rainfall in the main producing areas for the period December 2024– February 2025 ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_11_2-4-south_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel).",1,2,3,BOL
111,Zambia,0,No hotspot,"Although cumulative rainfall in the last month has been average to above-average across the country, crop and pastoral conditions are poor across most parts of the country, with ca. 60-80% of active crop area and ca.45-65% of active rangeland area being affected by a greenness anomaly. The season is still in a very early stage and monitoring will be crucial over the coming weeks. The
[https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for the December 2024-February 2025 period points to average to above-average rainfall conditions across the country. According to the latest [https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1157977/?iso3=ZMB] IPC report, released in October 2024, in the projected period October 2024-March 2025, about 5.83 million people (33 percent of the population analysed) are expected to face acute food insecurity (IPC Phase 3 or above).",7,7,7,ZMB
112,Côte d'Ivoire,1,Hotspot,"The harvesting of the main season maize crop has been completed in September. Planting of the secondary maize crop, mostly cultivated in the south, concluded in September and harvesting is expected to take place in December 2024 and January 2025. Crop conditions in mid-November are below-average. In the North, which only has one rainy season, harvesting of cereals is underway and is expected to conclude in December. Across the country, poor crop conditions are observed. At the national level, ca. 30% of active crop area is affected by a greenness anomaly, and as a result a reduced cereal harvest is expected in the country.
 Similarly, poor rangeland conditions are observed in the southern regions of the country.",11,9,12,CIV
117,Guatemala,0,No hotspot,"Postrera cycles of maize and beans are, respectively, in the vegetation and harvest stage. A minor cycle of beans and maize (Apante cycle) normally starts in the north. Rainfall has been normal to above normal in all cropland areas over the past month, which should benefit the establishment of Apante crops. However, cumulated rainfall since August, which is the start of the Postrera cycle, has been below normal in about 1/3 of total croplands. Consequently, by November 20th, poor vegetation conditions are present in large areas of the central part of the country although with a trend to improving. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_09_2-3-north_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel forecasts above average rainfall across the country until the end of January which should benefit mainly the Apante cycle. According to the latest IPC analysis, about 2.7 million people experienced high levels of acute food insecurity in November 2024, representing 15% of the population ([https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1157137/?iso3=GTM"" target=""_blank"" rel=""noreferrer noopener] IPC TWG Guatemala, September 2024).",4,7,7,GTM
118,Togo,0,No hotspot,"Harvesting of the 2024 main season maize crops was completed in southern areas in September. In the rest of the country, harvesting of millet, sorghum and rice crops is ongoing and is expected to be concluded by the end of November. Planting of the secondary maize crops in the south was completed in September and crop conditions are above-average. Harvesting of the second season maize crop is set to begin in December. According to [https://www.fao.org/giews/countrybrief/country.jsp?code=TGO] FAO GIEWS, aggregate cereal production in 2024 is forecast at about 1.5 million tons, slightly above the 5‑year average, reflecting generally favourable weather conditions and the provision of agricultural inputs by the government.",0,0,0,TGO
120,Morocco,0,No hotspot,"Sowings of winter wheat and barley have started in November under below average rainfall conditions and temperatures 2-4C above normal. In the last month, the main crop producing regions received from 20% (Doukkala-A.) to about 50% (Marrakech, Fes-B., Meknes-T.) of their normal rainfall, raising concern for the establishment of winter cereals (the exceptions being Tadla Azilal with 78%). Actually crop biomass starts to be below average as a result of delayed sowings or limited growth, especially in Doukkala and Marrakech in the southwest and Oriental in the northeast, and to a lesser extent in the centre (Chaouia, Tadla Azizal and Rabat). In this context of rainfall deficit, irrigation plays a key role. For instance, Gharb received 30% of its November rainfall but Al Whada dam provides irrigation water and crop biomass is above average in contrast with Doukkala which receives water from Al Massira dam, whose level is very low (see comparison with November 2020 - 
[https://agricultural-production-hotspots.ec.europa.eu/s/ad45e34e"" target=""_blank] https://agricultural-production-h[https://agricultural-production-hotspots.ec.europa.eu/s/ad45e34e"" target=""_blank] otspots.ec.europa.eu/s/ad45e34e). According to the Copernicus C3S multimodel seasonal forecast, below normal rainfall is expected up to end of April which could result in a reduced winter cereals output for the 4th year in a row.",5,11,11,MAR
121,Tunisia,0,No hotspot,"Sowing of winter wheat and barley are underway and should conclude in December. Rainfall conditions in the last month have been mixed i.e. below normal in a large center (especially Le Kef in the center-west) and close to normal in the north (Bizerte). Biomass of winter cereals is close to average in the northwest (Jendouba, Beja), above average in the center-east in Kairouan, Zaghouan and Nabeul (which received abundant rainfall at end October) and below average in the north (Bizerte) and in the centre-west (Le kef, Siliana) as a result of rainfall deficit since September. It is early in the season and cereals in these areas may recover from this delayed start of season, as occurred in 2023-2024. Moreover, according to the Copernicus C3S model, above average rainfall is forecast as from January.",7,9,9,TUN
122,Turkmenistan,0,No hotspot,"In Turkmenistan, sowings of winter wheat finalized under close to average moisture and temperature conditions.",0,0,0,TKM
126,Philippines,3,Not assessed,Not a hotspot country according to the latest ASAP analysis.,1,3,3,PHL
128,Iran,0,No hotspot,"In Iran, sowings of winter wheat and barley are underway under close to average moisture conditions except in the centre south (Esfahan and neighbouring provinces) where below average rainfall conditions and 2-3C warmer than average temperatures prevailed in the last month. Winter crops biomass is now close to average, however below normal rainfall is expected for December – April for the whole country according to to the Copernicus C3S multimodel seasonal forecast. Across the country, harvest of rice finalized with average (Gilan, Fars) to above average prospects (Mazadaran, Khuzestan) as suggested by crop biomass.",5,2,7,IRN
129,Namibia,0,No hotspot,"There is a delay in sowing activities and crop and pasture development in the northern and eastern part of the country. At mid-November, both crop and pastoral conditions are affected in the regions of Ohangwena, Kavango West and Zambezi, where ca. 70%-90% of active crop area and ca. 45%-90% of active rangeland area are affected by a greenness anomaly. Additionally, rangeland conditions are affected in most of the eastern provinces, particularly in Omaheke and Otjozondjupa and in the northern provinces of Kavango East and Oshikoto. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for the December 2024-February 2025 period points to below-average rainfall conditions in the western part of the country and average rainfall conditions in the eastern part. Monitoring the situation in the next months is crucial.",3,7,7,NAM
131,Gambia,0,No hotspot,"Harvesting of the 2024 maize crop ended in October, while that of rice, millet and sorghum is expected to be completed by the end of November. According to [https://ipad.fas.usda.gov/countrysummary/default.aspx?id=GA] USDA, millet and maize production for 2024 is expected to be close to the 5-year average, whereas rice production is forecast at an above-average level.",0,0,0,GMB
132,Cambodia,3,Not assessed,Not a hotspot country according to the latest ASAP analysis.,9,14,14,KHM
133,Lesotho,0,No hotspot,"Above-average rainfall amounts experienced in the last month (ca. 40%-45% above-average), support crop and rangeland conditions in the country. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast
for the December 2024-February 2025 period points to above-average rainfall conditions across the country.",0,0,0,LSO
134,Viet Nam,3,Not assessed,Not a hotspot country according to the latest ASAP analysis.,10,21,21,VNM
135,Cameroon,0,No hotspot,"Harvesting of the main 2024 season maize crop has been finalized in bi-modal rainfall areas of the centre and south. Rainfall amounts have been adequate since the onset of the season in March benefiting crop development and yields. In northern uni-modal areas (North and Far North regions), where sorghum and millet crops are predominantly grown, harvesting is underway. Planting of the second season maize crops was concluded in late September in the southern part of the country and crop biomass is at an average to above-average level at mid-November. Preliminary forecasts place the 2024 cereal production at 3.9 million tonnes, ca 5% above the 5-year average ([https://www.fao.org/giews/reports/crop-prospects/en/] FAO- Crop Prospects and Food Situation (November 2024)).",2,6,7,CMR
140,Sri Lanka,0,No hotspot,"In Sri Lanka, planting of main season Maha rice and corn is nearing completion under slightly below average moisture conditions.",2,0,2,LKA
141,South Africa,0,No hotspot,"Rainfall deficits over the eastern part of the country are causing some early season dryness to the main cereal crop areas of the country. Cumulative rainfall in October has been ca.45%-65% below-average over cropland areas of Mpumalanga, Free State, Limpopo and Gauteng. Similarly, poor rainfall in October has resulted in delayed rangeland regeneration in the provinces of Mpumalanga, Limpopo, North West and Gauteng. Rainfall in the first two dekads of November has been average to above-average over most parts of the country. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for the December 2024-February 2025 period points to average to above-average rainfall conditions across the country except for the far western part where drier than average conditions are forecast. Monitoring the situation in the coming weeks is crucial. The preliminary area planted to summer cereal crops for 2024/2025 will be published on 28th January 2025 by the [https://www.sagis.org.za/cec_reports.html] Crop Estimates Committee.",4,4,5,ZAF
142,Congo,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,COG
148,Malawi,0,No hotspot,"Land preparation for, and planting of, the 2024/25 cereal crops are underway, with average to above-average cumulative rainfall in the last month. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast
for the December 2024-February 2025 period points to above-average rainfall conditions across the country. Monitoring the situation in the next months is crucial.",0,2,2,MWI
